experiment,seed,class_id,class_name,ap50,ap50_95,run_dir,model_name,eval_split
real_only,43,5,B2,0.5466106371153849,0.4416436788304222,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,6,B52,0.1725113572624041,0.1322497280962342,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,7,Be200,0.5038867557669294,0.4300241676336244,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,8,C130,0.3357721879253471,0.2789852486582614,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,9,C17,0.2732873228242868,0.2331588139031555,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,10,C2,0.6885996196506373,0.6569668829200408,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,11,C5,0.3399863163446012,0.2988283780134561,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,12,E2,0.3928212285087654,0.3266422913443382,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,13,E7,0.4883535711274138,0.4550662437318141,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,14,EF2000,0.1073053716387956,0.096970859320762,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,15,F117,0.4601658098672235,0.4170583062329721,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,16,F14,0.0231251045321119,0.018143197066093,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,17,F15,0.1820367443149014,0.1509408131543193,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,18,F16,0.3948189924367763,0.3023748803633866,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,19,F18,0.2998146318521953,0.2427097995519634,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,20,F22,0.1673325503654843,0.1469727349973017,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,21,F35,0.4241044758671797,0.3101026702116216,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,22,F4,0.1706352440539195,0.143945292074876,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,23,J20,0.3029677774579816,0.290714073648108,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,24,JAS39,0.2653779676255146,0.1965119083198703,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,25,MQ9,0.4274746164458205,0.3459720391328394,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
real_only,43,26,Mig31,0.2330211145862862,0.2285094923948614,/content/drive/MyDrive/Military_OD/outputs_full/runs/real_only_yolov8n_seed43_20260703_1142,yolov8n.pt,test
